Title,Year,Rating,Genres,Streaming_Services,URL
Past Lives,2023, 7.9,"Drama, Romance",['Lionsgate Play'],https://www.justwatch.com/in/movie/past-lives
Jigarthanda Double X,2023, 8.1,"Action & Adventure, Comedy, Drama, Western",['Netflix'],https://www.justwatch.com/in/movie/jigarthanda-doublex
Annapoorani,2023, 3.6,"Comedy, Drama",[],https://www.justwatch.com/in/movie/annapoorani
Sapta Sagaradaache Ello: Side B,2023, 8.3,"Romance, Drama",['Amazon Prime Video'],https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b
Leo,2023, 7.2,"Mystery & Thriller, Action & Adventure, Crime, Drama",['Netflix'],https://www.justwatch.com/in/movie/leo-2023
The Family Plan,2023, 6.3,"Comedy, Action & Adventure","['Apple TV Plus', 'Apple TV Plus']",https://www.justwatch.com/in/movie/the-family-plan
Napoleon,2023, 6.5,"Action & Adventure, Drama, History, War & Military","['Amazon Video', 'Google Play Movies']",https://www.justwatch.com/in/movie/napoleon-2023
Anyone But You,2023, 6.6,"Comedy, Romance",['Bookmyshow'],https://www.justwatch.com/in/movie/anyone-but-you
Chithha,2023, 8.3,"Drama, Mystery & Thriller",['Hotstar'],https://www.justwatch.com/in/movie/chittha
Rocky Aur Rani Kii Prem Kahaani,2023, 6.6,"Comedy, Drama, Kids & Family, Romance","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani
Neru,2023, 7.7,"Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/neru
Harry Potter and the Philosopher's Stone,2001, 7.6,"Action & Adventure, Fantasy, Kids & Family","['Apple TV', 'Jio Cinema', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
Toby,2023, 7.4,"Drama, Mystery & Thriller, Action & Adventure, Crime",['Sony Liv'],https://www.justwatch.com/in/movie/toby
Gadar 2,2023, 5.2,"Action & Adventure, Drama, Mystery & Thriller",['Zee5'],https://www.justwatch.com/in/movie/gadar-2
The Creator,2023, 6.8,"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller","['Apple TV', 'Hotstar', 'Apple TV', 'Apple TV']",https://www.justwatch.com/in/movie/the-creator
The Holdovers,2023,no rating info,"Comedy, Drama",[],https://www.justwatch.com/in/movie/the-holdovers
Guntur Kaaram,2024, 6.4,"Kids & Family, Action & Adventure, Drama",['Bookmyshow'],https://www.justwatch.com/in/movie/ssmb-28
Zara Hatke Zara Bachke,2023, 6.4,"Drama, Romance, Comedy, Kids & Family",[],https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke
Tejas,2023, 5.3,"Action & Adventure, Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/tejas
Dada,2023, 8.2,"Romance, Drama, Comedy, Kids & Family",['Amazon Prime Video'],https://www.justwatch.com/in/movie/dada-2023
Interstellar,2014, 8.7,"Drama, Science-Fiction","['Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/interstellar
Mad Max: Fury Road,2015, 8.1,"Action & Adventure, Science-Fiction, Mystery & Thriller","['Apple TV', 'Amazon Prime Video', 'Google Play Movies', 'Apple TV']",https://www.justwatch.com/in/movie/mad-max-fury-road
Merry Christmas,2024, 8.0,"Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/merry-christmas-2024
365 Days,2020, 3.3,"Drama, Romance, Made in Europe",['Netflix'],https://www.justwatch.com/in/movie/365-days
Extra Ordinary Man,2023, 5.4,"Drama, Action & Adventure",[],https://www.justwatch.com/in/movie/extra
Role Play,2023, 5.4,"Action & Adventure, Comedy, Romance",['Amazon Prime Video'],https://www.justwatch.com/in/movie/role-play-2023
Antony,2023, 6.8,"Action & Adventure, Drama, Kids & Family, Mystery & Thriller",['Amazon Prime Video'],https://www.justwatch.com/in/movie/antony-2023
Godzilla Minus One,2023, 8.3,"Science-Fiction, Horror, Action & Adventure, Drama",[],https://www.justwatch.com/in/movie/godzilla-minus-one
777 Charlie,2022, 8.8,"Comedy, Drama",['Voot'],https://www.justwatch.com/in/movie/777-charlie
Leave the World Behind,2023, 6.5,"Science-Fiction, Drama, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/movie/leave-the-world-behind-2023
Joe,2023, 7.7,Drama,[],https://www.justwatch.com/in/movie/joe-2023
The Wolf of Wall Street,2013, 8.2,"Crime, Drama, Comedy","['Lionsgate Play', 'Google Play Movies', 'Google Play Movies']",https://www.justwatch.com/in/movie/the-wolf-of-wall-street
Wonka,2023, 7.2,"Comedy, Kids & Family, Fantasy","['Apple TV', 'Bookmyshow', 'Apple TV', 'Apple TV']",https://www.justwatch.com/in/movie/wonka
Inception,2010, 8.8,"Action & Adventure, Science-Fiction, Mystery & Thriller","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/inception
The Batman,2022, 7.8,"Mystery & Thriller, Crime, Drama, Action & Adventure","['Apple TV', 'Netflix', 'Amazon Video', 'Google Play Movies']",https://www.justwatch.com/in/movie/the-batman
Aquaman,2018, 6.8,"Action & Adventure, Fantasy, Science-Fiction","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/aquaman
Starfish,2023, 6.9,"Drama, Mystery & Thriller, Romance",['Netflix'],https://www.justwatch.com/in/movie/starfish-2023
Pathaan,2023, 5.9,"Mystery & Thriller, Action & Adventure","['Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Google Play Movies']",https://www.justwatch.com/in/movie/pathaan
Dumb Money,2023, 6.9,"Drama, Comedy","['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/dumb-money
Joker,2019, 8.4,"Crime, Mystery & Thriller, Drama","['Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/joker-2019
Keedaa Cola,2023, 8.1,"Action & Adventure, Comedy, Crime",['aha'],https://www.justwatch.com/in/movie/keedaa-cola
Curry & Cyanide: The Jolly Joseph Case,2023,no rating info,"Documentary, Crime",['Netflix'],https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case
Fast X,2023, 5.8,"Action & Adventure, Crime, Mystery & Thriller","['Apple TV', 'Jio Cinema', 'Zee5', 'Apple TV']",https://www.justwatch.com/in/movie/fast-x
My Name Is Shruthi,2023, 8.1,"Mystery & Thriller, Crime",['Amazon Prime Video'],https://www.justwatch.com/in/movie/my-name-is-shruthi
Fighter,2024, 7.8,"Action & Adventure, Mystery & Thriller, War & Military",[],https://www.justwatch.com/in/movie/fighter-2022
Pushpa: The Rise - Part 1,2021, 7.6,"Drama, Mystery & Thriller, Action & Adventure, Crime","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/pushpa
